last_name, first_name,year,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,
Anderson, Brian,2020,.228,.425,.312,.322,.197,87.4,9.6,9.6,
Leon, Sandy,2020,.180,.310,.289,.334,.130,84.9,17.9,4.4,
Encarnacion, Edwin,2020,.164,.369,.268,.260,.206,85.4,22.8,13.2,
Cervelli, Francisco,2020,.250,.449,.340,.361,.199,89,13.3,7.7,
Yastrzemski, Mike,2020,.255,.496,.355,.364,.241,88.2,18.4,10.9,
Marte, Ketel,2020,.265,.379,.295,.309,.114,89.2,10,3.7,
Sandoval, Pablo,2020,.237,.349,.281,.308,.112,91.9,8,3.0,
Soler, Jorge,2020,.244,.490,.338,.339,.247,92.5,15.5,18.9,
Mathis, Jeff,2020,.203,.355,.264,.265,.153,89.6,20.6,7.7,
Moore, Dylan,2020,.251,.464,.343,.355,.213,90.4,17.3,13.8,
Calhoun, Willie,2020,.196,.272,.230,.246,.077,89.3,14.4,1.2,
Murphy, Daniel,2020,.239,.345,.259,.278,.107,85.1,15.5,4.9,
Belt, Brandon,2020,.285,.598,.402,.405,.313,90.7,18,16.8,
Wolters, Tony,2020,.262,.344,.281,.310,.082,84.1,8.2,0.0,
Bonifacio, Jorge,2020,.200,.299,.242,.260,.099,82.9,18.3,3.3,
Gurriel Jr., Lourdes,2020,.281,.486,.331,.324,.206,90.8,10.5,11.7,
Farmer, Kyle,2020,.285,.456,.335,.347,.171,89.6,18.2,5.9,
Berti, Jon,2020,.242,.315,.318,.374,.073,86.6,7.2,3.5,
Bader, Harrison,2020,.198,.421,.314,.315,.222,86,15.7,11.9,
Baez, Javier,2020,.215,.378,.265,.254,.163,89.4,10.3,8.1,
Judge, Aaron,2020,.266,.546,.361,.346,.279,92.2,15.7,11.6,
Benintendi, Andrew,2020,.122,.214,.272,.333,.092,85.2,8.6,4.3,
LeMahieu, DJ,2020,.315,.462,.355,.378,.148,91.3,2.3,2.9,
Castro, Jason,2020,.238,.487,.337,.338,.249,92.7,19.7,14.9,
Alonso, Pete,2020,.227,.466,.322,.324,.239,90.2,15.5,12.8,
Ruf, Darin,2020,.251,.457,.336,.349,.206,89.4,12.5,9.4,
Ohtani, Shohei,2020,.235,.426,.322,.332,.191,89.1,9.2,10.7,
Lin, Tzu-Wei,2020,.181,.232,.193,.208,.051,85.5,13.7,2.6,
